,date,title,links,description
30,21.07.16,[단독] NC 이어 키움 · 한화 선수들도…호텔서 같은 여성과 모임,"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006394548"",""링크"")","프로야구 NC의 원정 숙소에서 박석민, 이명기, 권희동, 박민우 등 4명과 호텔에서 술을 마신 여성이 키움, 한화 선수들과도 이 호텔에서 모임을…"
31,21.07.16,"[단독] ""3명 이상 못 앉아"" 경고하자 식칼 들고 위협","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006394412"",""링크"")",수도권에서 저녁 6시 이후 3명 이상 사적 모임이 금지된 가운데 서울 신촌 한복판에서 이를 지적받은 남성이 흉기를 휘둘렀다가 경찰에 붙잡혔습니다…
32,21.07.15,[단독] '성남FC 뇌물수수 의혹'…3년 만에 무혐의 가닥,"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006393610"",""링크"")",이재명 경기도지사가 성남시장으로 재직할 당시 '성남 FC' 구단 후원금을 뇌물로 받았다는 의혹에 대해 경찰이 4년째 수사 중인데 경찰이 이 지사…
33,21.07.15,"[단독] '특공' 받고 절반 넘게 팔아…""불로소득 수단""","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006393608"",""링크"")",특별공급을 시행한 공공기관 가운데에는 직원들이 아파트를 받은 뒤에 이미 절반 넘게 팔아버린 기관도 있습니다. 주거 안정을 위해서라는 원래의 취지…
34,21.07.15,[단독] 부산 근무 아닌데도…입사 열흘 만에 '특공',"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006393606"",""링크"")",몇 달 전 세종시 아파트 특별 공급 특혜 논란이 불거지면서 그 제도가 결국 폐지됐습니다. 그런데 지금도 유지되고 있는 공공기관 특별공급에서도 비…
35,21.07.15,[단독] 부산 근무 아닌데도 특공…입사 10일 만에 특공 받고 '먹튀',"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006393630"",""링크"")",한국자산관리공사 등 지방으로 이전한 공기업 직원들을 위한 주택특별공급 제도가 제대로 운영되지 않고 있는 것으로 SBS 취재 결과 확인됐습니다. …
36,21.07.14,"[단독] ""친구가 필로폰 탄 음료 먹여""…20대 남성 검거","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006391865"",""링크"")",친구에게 필로폰을 넣은 음료를 먹여 의식을 잃게 한 혐의로 20대 남성이 경찰에 붙잡혔습니다. 서울 광진경찰서는 마약류관리에 관한 법률 위반 혐…
37,21.07.14,"[단독] 서울 한복판 20대 바바리맨 검거…""동종 전과 · 상습범""","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006391422"",""링크"")","대낮 대단지 아파트가 밀집한 서울 한복판에서 여성을 상대로 성기를 노출한 20대 남성이 경찰에 붙잡혔습니다. SBS 취재에 따르면, 서울 서대문…"
38,21.07.13,[단독] 교육생 불러 안마시킨 해경 교수…솜방망이 징계,"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006390643"",""링크"")","군뿐만 아니라 경찰에서도 최근 성추행사건이 잇따랐는데, 이번에는 해경을 가르치는 교육원 교수가 임용을 앞둔 교육생을 성추행한 사실이 드러났습니다…"
39,21.07.13,"[단독] 연구실서 ""주물러라""…해경 교수, 교육생 성추행","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006390671"",""링크"")","최근 해양경찰이 간부들의 성추행사건과 성희롱성 막말으로 곤욕을 치렀는데, 이번에는 해경교육원 교수가 순경 임용을 앞둔 교육생을 연구실로 불러 성…"
40,21.07.12,[단독] 당일 고쳤다더니…부품 없어 못 고친 취수펌프,"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006389167"",""링크"")","춘천 단수 사태가 나흘째 이어지고 있습니다. 춘천시는 사고 당일 수리를 마쳤지만 수도관에 공기가 차서 물이 안 나온다고 해명했는데, 사실은 망가…"
41,21.07.12,[단독] 수족관 돌고래 60% 죽었다…'학대금지법' 발의,"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006389157"",""링크"")","돌고래와 흰고래 벨루가입니다. 수족관에서 쉽게 볼 수 있지만, 두 종류 모두 '국제멸종위기종'으로, 이렇게 좁은 수조에 가둬놓고 공연시키는 것이…"
42,21.07.12,[단독] 61마리 중 37마리 죽어…'돌고래 학대' 금지 법안 나온다,"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006389055"",""링크"")",수족관에서 돌고래와 벨루가 등을 가둬놓고 공연을 시키는 행위를 금지하는 법안을 국회와 정부부처가 발의합니다. 해당 법안은 폐사 위험이 있어 전시…
